 NCBI accesion,BioProject,link,SRA ID,RUN,Spots,Bases
SAMN30102444,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102444,SRS14396853,SRR20749829,1.9M,563.8M
SAMN30102445,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102445,SRS14396864,SRR20749818,1.8M,540.8M
SAMN30102446,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102446,SRS14396876,SRR20749806,2.6M,779.1M
SAMN30102447,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102447,SRS14396887,SRR20749795,2.1M,628.7M
SAMN30102448,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102448,SRS14396769,SRR20749913,1.9M,583.7M
SAMN30102449,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102449,SRS14396770,SRR20749912,"831,139",250.3M
SAMN30102450,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102450,SRS14396771,SRR20749911,2M,588.6M
SAMN30102451,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102451,SRS14396772,SRR20749910,2.4M,722.2M
SAMN30102474,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102474,SRS14396797,SRR20749885,1.7M,513.1M
SAMN30102475,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102475,SRS14396798,SRR20749884,1.2M,366.5M
SAMN30102476,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102476,SRS14396800,SRR20749882,1.1M,332.3M
SAMN30102477,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102477,SRS14396801,SRR20749881,2.2M,653.6M
SAMN30102478,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102478,SRS14396802,SRR20749880,3.1M,944.1M
SAMN30102479,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102479,SRS14396803,SRR20749879,1.9M,586.4M
SAMN30102480,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102480,SRS14396804,SRR20749878,1.3M,396.5M
SAMN30102481,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102481,SRS14396805,SRR20749877,"644,310",194M
SAMN30102482,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102482,SRS14396806,SRR20749876,1.7M,509.7M
SAMN30102483,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102483,SRS14396807,SRR20749875,2.4M,713.7M
SAMN30102484,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102484,SRS14396808,SRR20749874,2.7M,827.1M
SAMN30102485,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102485,SRS14396809,SRR20749873,1.8M,538.6M
SAMN30102486,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102486,SRS14396811,SRR20749871,1.3M,383.3M
SAMN30102487,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102487,SRS14396812,SRR20749870,2M,612.2M
SAMN30102488,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102488,SRS14396813,SRR20749869,2.3M,698.6M
SAMN30102489,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102489,SRS14396814,SRR20749868,"657,514",198M
SAMN30102490,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102490,SRS14396815,SRR20749867,2.9M,872M
SAMN30102491,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102491,SRS14396816,SRR20749866,"842,633",253.7M
SAMN30102492,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102492,SRS14396817,SRR20749865,1.7M,502.9M
SAMN30102493,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102493,SRS14396818,SRR20749864,"396,403",119.4M
SAMN30102494,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102494,SRS14396819,SRR20749863,3.3M,1G
SAMN30102495,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102495,SRS14396820,SRR20749862,2.3M,696.9M
SAMN30102496,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102496,SRS14396822,SRR20749860,2.1M,646.8M
SAMN30102497,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102497,SRS14396823,SRR20749859,1.6M,481.6M
SAMN30102498,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102498,SRS14396824,SRR20749858,1.3M,386.2M
SAMN30102499,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102499,SRS14396825,SRR20749857,"772,531",232.6M
SAMN30102500,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102500,SRS14396826,SRR20749856,1.5M,461.3M
SAMN30102501,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102501,SRS14396827,SRR20749855,1.7M,503.1M
SAMN30102502,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102502,SRS14396828,SRR20749854,"418,516",126M
SAMN30102503,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102503,SRS14396829,SRR20749853,3.2M,963.8M
SAMN30102504,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102504,SRS14396830,SRR20749852,2.5M,746.1M
SAMN30102505,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102505,SRS14396895,SRR20749787,2.3M,702M
SAMN30102506,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102506,SRS14396897,SRR20749785,"723,915",218.2M
SAMN30102507,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102507,SRS14396898,SRR20749784,1.6M,491.3M
SAMN30102508,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102508,SRS14396899,SRR20749783,2.1M,630.3M
SAMN30102509,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102509,SRS14396900,SRR20749782,1.7M,513.8M
SAMN30102510,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102510,SRS14396901,SRR20749781,3M,918.2M
SAMN30102511,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102511,SRS14396902,SRR20749780,1.2M,372M
SAMN30102512,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102512,SRS14396903,SRR20749779,2.1M,632.2M
SAMN30102513,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102513,SRS14396905,SRR20749778,1.6M,472.5M
SAMN30102514,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102514,SRS14396904,SRR20749777,2M,613.9M
